건축구분,허가번호,대지위치,대지면적,건축면적,연면적,단위,착공처리일,주용도,데이터기준일
대수선,2022-건축과-대수선허가-37,서울특별시 용산구 이태원동 128-13 외1필지,638.9,369.38,"1,998.39",㎡,2022-10-20,업무시설,2022-11-18
신축,2022-건축과-신축허가-100,서울특별시 용산구 후암동 448-94,111.25,66.24,218.16,㎡,2022-11-08,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-31,서울특별시 용산구 한강로1가 221-2,108.64,65.02,191.74,㎡,2022-11-16,제2종근린생활시설,2022-11-18
증축,2022-건축과-증축허가-8,서울특별시 용산구 한남동 657-144,242,119.77,658.54,㎡,2022-10-21,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-29,서울특별시 용산구 이태원동 251-39,105.29,61.6,262.64,㎡,2022-09-19,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-88,서울특별시 용산구 청파동3가 118-407 외1필지,220.15,131.82,432.8,㎡,2022-11-03,공동주택,2022-11-18
대수선,2022-건축과-대수선허가-26,서울특별시 용산구 이태원동 210-12,148.63,88.69,361.51,㎡,2022-09-20,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-27,서울특별시 용산구 한강로3가 40-969 외3필지,"14,797.7","8,811.4","185,482.49",㎡,2022-10-31,숙박시설,2022-11-18
증축,2022-건축과-증축허가-7,서울특별시 용산구 이태원동 225-12,135,58.57,238.18,㎡,2022-08-18,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-25,서울특별시 용산구 남영동 58-4 외1필지,99.2,67.11,134.55,㎡,2022-11-17,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-81,서울특별시 용산구 청파동3가 27-9,109.51,48.04,169.32,㎡,2022-09-01,공동주택,2022-11-18
신축,2022-건축과-신축허가-78,서울특별시 용산구 이태원동 74-62,205,107.33,536.55,㎡,2022-10-26,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-76,서울특별시 용산구 청파동3가 132-38 외2필지,251.28,150.14,499.21,㎡,2022-07-11,공동주택,2022-11-18
신축,2022-건축과-신축허가-75,서울특별시 용산구 이태원동 128-2,243,145.6,599.17,㎡,2022-09-20,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-71,서울특별시 용산구 청파동3가 118-207,140.11,76.38,205.21,㎡,2022-09-01,공동주택,2022-11-18
신축,2022-건축과-신축허가-69,서울특별시 용산구 후암동 389-32,136.6,81.62,239.99,㎡,2022-11-08,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-23,서울특별시 용산구 이태원동 258-261,178.06,89,243.02,㎡,2022-07-12,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-58,서울특별시 용산구 후암동 249-7 외1필지,853.6,486.48,"2,904.27",㎡,2022-10-21,공동주택,2022-11-18
신축,2022-건축과-신축허가-57,서울특별시 용산구 이태원동 258-33,330,131.13,497.55,㎡,2022-11-10,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-21,서울특별시 용산구 이태원동 74-54,175,96.56,228.99,㎡,2022-07-12,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-55,서울특별시 용산구 원효로4가 85-14,392.92,233.34,659.75,㎡,2022-06-20,공동주택,2022-11-18
신축,2022-건축과-신축허가-52,서울특별시 용산구 원효로3가 215-2,94.17,47.95,139.11,㎡,2022-09-02,공동주택,2022-11-18
대수선,2022-건축과-협의건축물-3,서울특별시 용산구 갈월동 98-8,"6,391",687.405,"3,036.54",㎡,2022-06-21,업무시설,2022-11-18
대수선,2022-건축과-대수선허가-19,서울특별시 용산구 한남동 11-269 외1필지,807,237.08,727.81,㎡,2022-10-13,제2종근린생활시설,2022-11-18
증축,2022-건축과-증축허가-5,서울특별시 용산구 한남동 684-95,150,88,458.82,㎡,2022-09-27,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-50,서울특별시 용산구 용산동2가 1-282 외3필지,88.87,43.12,128.78,㎡,2022-07-08,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-18,서울특별시 용산구 남영동 47-1,158.7,45.12,76.99,㎡,2022-07-19,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-16,서울특별시 용산구 이태원동 255-49,160.5,94.78,372.54,㎡,2022-06-13,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-47,서울특별시 용산구 한남동 737-45,856.2,254.92,"1,520.47",㎡,2022-10-06,제1종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-45,서울특별시 용산구 한남동 262-1 외2필지,786.09,443.82,"4,569.44",㎡,2022-10-13,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-44,서울특별시 용산구 용산동2가 21-2 외1필지,227.2,136.3,505.46,㎡,2022-11-02,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-43,서울특별시 용산구 신창동 56-14,171.4,102.23,341.12,㎡,2022-06-28,공동주택,2022-11-18
신축,2022-건축과-신축허가-41,서울특별시 용산구 용산동2가 24-14,119,70.74,235.17,㎡,2022-07-25,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-42,서울특별시 용산구 청파동1가 97-10,219.5,131.35,561.11,㎡,2022-10-06,공동주택,2022-11-18
신축,2022-건축과-신축허가-40,서울특별시 용산구 후암동 60-9,361.9,217.09,673.54,㎡,2022-08-23,공동주택,2022-11-18
신축,2022-건축과-신축허가-33,서울특별시 용산구 이태원동 111-3 외2필지,"1,086.6",542.37,"3,262.28",㎡,2022-10-26,문화및집회시설,2022-11-18
신축,2022-건축과-신축허가-31,서울특별시 용산구 이태원동 211-12,115.6,69.32,226.65,㎡,2022-05-31,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-32,서울특별시 용산구 한남동 726-186,470.94,141.02,674.9,㎡,2022-06-29,제2종근린생활시설,2022-11-18
대수선,2022-건축과-대수선허가-8,서울특별시 용산구 한남동 267-2,100.58,50.12,170.64,㎡,2022-08-10,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-30,서울특별시 용산구 이태원동 168-12 외2필지,308,183.95,997.94,㎡,2022-10-05,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-29,서울특별시 용산구 원효로3가 252-7,116.54,62.74,195.83,㎡,2022-06-15,공동주택,2022-11-18
신축,2022-건축과-신축허가-28,서울특별시 용산구 한남동 657-138,250,124.44,722.37,㎡,2022-08-18,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-27,서울특별시 용산구 한남동 726-162,527,152.69,985.1,㎡,2022-07-25,제2종근린생활시설,2022-11-18
대수선,2022-도시계획과-대수선허가-1,서울특별시 용산구 한강로2가 191 외3필지,"11,703.4","3,738.11","105,491.61",㎡,2022-07-21,업무시설,2022-11-18
신축,2022-건축과-신축허가-23,서울특별시 용산구 용산동2가 32-8,129.3,77.05,191.54,㎡,2022-06-24,단독주택,2022-11-18
신축,2022-건축과-신축허가-22,서울특별시 용산구 동빙고동 1-47,387,219.18,917.44,㎡,2022-07-08,공동주택,2022-11-18
신축,2022-건축과-신축허가-21,서울특별시 용산구 한남동 739-11,611.2,364.66,"2,690.59",㎡,2022-07-15,판매시설,2022-11-18
신축,2022-건축과-신축허가-18,서울특별시 용산구 효창동 5-77,186.4,108.96,357.75,㎡,2022-05-18,공동주택,2022-11-18
신축,2022-건축과-신축허가-16,서울특별시 용산구 이태원동 405-2 외1필지,331.6,190.64,617.14,㎡,2022-06-28,공동주택,2022-11-18
신축,2022-건축과-신축허가-13,서울특별시 용산구 청파동2가 37-2 외1필지,315.5,182.81,807.95,㎡,2022-07-12,공동주택,2022-11-18
신축,2022-건축과-신축허가-12,서울특별시 용산구 한남동 713-1,277.6,151.05,581.38,㎡,2022-07-29,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-9,서울특별시 용산구 이태원동 258-259,92,52.46,136.53,㎡,2022-07-06,단독주택,2022-11-18
신축,2022-건축과-신축허가-10,서울특별시 용산구 용산동2가 33-14,101,59.8,190.3,㎡,2022-06-13,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-8,서울특별시 용산구 효창동 5-554,108.8,64.23,199.09,㎡,2022-05-27,단독주택,2022-11-18
신축,2022-건축과-신축허가-6,서울특별시 용산구 후암동 410-16,109.49,51.11,163.15,㎡,2022-04-29,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-3,서울특별시 용산구 한남동 683-39,225.5,131.39,627.78,㎡,2022-06-03,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-5,서울특별시 용산구 이태원동 151-6,172,96.73,365.17,㎡,2022-10-14,단독주택,2022-11-18
신축,2022-건축과-신축허가-3,서울특별시 용산구 이태원동 63-39,193.68,114.51,504.43,㎡,2022-07-19,단독주택,2022-11-18
신축,2022-건축과-신축허가-4,서울특별시 용산구 한남동 738-15 외1필지,297.92,177.98,"1,077.24",㎡,2022-05-30,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-2,서울특별시 용산구 이태원동 322,279,166.5,711.62,㎡,2022-09-27,공동주택,2022-11-18
신축,2022-주택공급과-신축허가-2,서울특별시 용산구 갈월동 98-6,"1,892.2","1,129.6347","23,738.0916",㎡,2022-05-24,공동주택,2022-11-18
신축,2022-건축과-신축허가-1,서울특별시 용산구 용산동2가 34-34,178.4,100.43,367.53,㎡,2022-07-25,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-166,서울특별시 용산구 원효로3가 46-5,193.9,116.27,499.51,㎡,2022-11-08,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-164,서울특별시 용산구 서계동 96-15,263.5,144.47,652.37,㎡,2022-01-25,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-161,서울특별시 용산구 이태원동 210-23,348.67,203.31,581.3,㎡,2022-09-23,공동주택,2022-11-18
신축,2021-건축과-신축허가-162,서울특별시 용산구 한남동 31-1 외1필지,355,176.28,997.68,㎡,2022-09-15,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-160,서울특별시 용산구 이태원동 36-24,183,91.2,463.01,㎡,2022-04-26,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-158,서울특별시 용산구 효창동 5-359 외1필지,319.5,178.72,478.3,㎡,2022-05-18,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-156,서울특별시 용산구 이태원동 258-65,407,122.08,831.85,㎡,2022-04-25,제1종근린생활시설,2022-11-18
대수선,2021-건축과-대수선허가-34,서울특별시 용산구 서계동 220-5,551.09,241.98,451.64,㎡,2022-04-15,제1종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-153,서울특별시 용산구 이태원동 154-13,411.84,240.82,772.75,㎡,2022-04-15,단독주택,2022-11-18
신축,2021-건축과-신축허가-154,서울특별시 용산구 청파동3가 114-4,121.16,66.93,292.99,㎡,2022-04-11,제2종근린생활시설,2022-11-18
대수선,2021-건축과-대수선허가-32,서울특별시 용산구 갈월동 7-96,433.4,161.33,291.35,㎡,2022-03-15,단독주택,2022-11-18
신축,2021-건축과-신축허가-150,서울특별시 용산구 한남동 437,134.01,79.93,327.43,㎡,2022-09-23,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-146,서울특별시 용산구 후암동 58-19,111.4,63.8,180.8,㎡,2022-03-10,단독주택,2022-11-18
신축,2021-건축과-신축허가-147,서울특별시 용산구 이태원동 223-11,265,158.89,613.38,㎡,2022-07-21,공동주택,2022-11-18
신축,2021-건축과-신축허가-142,서울특별시 용산구 서계동 33-41,106.8,58.58,171.66,㎡,2022-01-21,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-143,서울특별시 용산구 한남동 11-276,571,170.67,"1,162.92",㎡,2022-06-13,공동주택,2022-11-18
신축,2021-건축과-신축허가-144,서울특별시 용산구 원효로4가 104 외1필지,167.53,97.05,330.14,㎡,2022-04-06,공동주택,2022-11-18
신축,2021-건축과-신축허가-141,서울특별시 용산구 청파동1가 100-10,340.4,203.63,652.22,㎡,2022-06-22,공동주택,2022-11-18
신축,2021-건축과-신축허가-140,서울특별시 용산구 후암동 403-8,224.36,127.94,463.18,㎡,2022-05-17,공동주택,2022-11-18
신축,2021-건축과-신축허가-139,서울특별시 용산구 후암동 345-25 외6필지,318,190.35,685.06,㎡,2022-07-18,공동주택,2022-11-18
신축,2021-건축과-신축허가-138,서울특별시 용산구 원효로2가 25,547.6,267.12,"2,944.45",㎡,2022-04-08,업무시설,2022-11-18
대수선,2021-건축과-대수선허가-30,서울특별시 용산구 원효로3가 1-2,"10,702.2","5,745.94","46,798.27",㎡,2022-03-17,방송통신시설,2022-11-18
신축,2021-건축과-신축허가-134,서울특별시 용산구 한남동 790-12,103.6,61.23,182.73,㎡,2022-03-03,제1종근린생활시설,2022-11-18
대수선,2021-건축과-대수선허가-29,서울특별시 용산구 이촌동 208-1 외2필지,"1,016.2",495.14,"1,779.56",㎡,2022-10-05,종교시설,2022-11-18
신축,2021-건축과-신축허가-133,서울특별시 용산구 이태원동 44-14,229.9,134.48,400.97,㎡,2022-04-05,공동주택,2022-11-18
신축,2021-건축과-신축허가-131,서울특별시 용산구 신계동 1-9,295.99,177.42,693.72,㎡,2022-03-29,공동주택,2022-11-18
대수선,2021-건축과-대수선허가-28,서울특별시 용산구 동자동 43-22,132.2,125.16,926.38,㎡,2022-10-18,업무시설,2022-11-18
신축,2021-건축과-신축허가-129,서울특별시 용산구 이태원동 321-1,383.4,229.94,650.11,㎡,2022-04-07,공동주택,2022-11-18
신축,2021-건축과-신축허가-127,서울특별시 용산구 이태원동 96-117 외1필지,188.4,112.8,481.58,㎡,2022-01-25,공동주택,2022-11-18
신축,2021-건축과-신축허가-128,서울특별시 용산구 용산동2가 44-14,97.1,58.15,195.05,㎡,2022-02-22,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-126,서울특별시 용산구 용산동2가 44-3,106.9,63.98,209.9,㎡,2022-03-29,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-125,서울특별시 용산구 용산동2가 5-7,69.4,41.08,142.48,㎡,2022-07-21,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-124,서울특별시 용산구 효창동 5-233,181.8,107.04,540.36,㎡,2022-02-10,공동주택,2022-11-18
신축,2021-건축과-신축허가-123,서울특별시 용산구 한강로1가 224-1 외1필지,675,403.82,"2,316.16",㎡,2022-01-14,업무시설,2022-11-18
증축,2021-건축과-증축허가-10,서울특별시 용산구 이촌동 210-1,658.6,394.87,"1,331.05",㎡,2022-01-21,업무시설,2022-11-18
증축,2021-건축과-증축허가-11,서울특별시 용산구 이촌동 210-11,661.8,386.94,"1,336.6",㎡,2022-01-21,업무시설,2022-11-18
신축,2021-건축과-신축허가-121,서울특별시 용산구 원효로1가 29-35,165.3,94.49,307.53,㎡,2022-06-08,공동주택,2022-11-18
신축,2021-건축과-신축허가-119,서울특별시 용산구 이태원동 112-3,318.3,175.16,868.7,㎡,2022-02-04,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-120,서울특별시 용산구 이태원동 258-50,337,134.6,374.19,㎡,2022-01-24,단독주택,2022-11-18
신축,2021-건축과-신축허가-118,서울특별시 용산구 신창동 2-10,202.42,101.05,392.65,㎡,2022-01-25,공동주택,2022-11-18
용도변경,2021-건축과-용도변경허가-175,서울특별시 용산구 갈월동 71-12 외1필지,131.2,111.01,467.7,㎡,2021-12-31,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-117,서울특별시 용산구 신창동 68,146.82,84.07,262.14,㎡,2022-01-25,공동주택,2022-11-18
신축,2021-건축과-신축허가-115,서울특별시 용산구 신창동 64-1,102.91,52.73,182.18,㎡,2021-12-09,공동주택,2022-11-18
신축,2021-건축과-신축허가-114,서울특별시 용산구 이태원동 198-8,"27,067",140.61,590.86,㎡,2022-04-07,공동주택,2022-11-18
신축,2021-건축과-신축허가-113,서울특별시 용산구 한강로2가 30-1,321.3,166.49,831.54,㎡,2021-11-25,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-109,서울특별시 용산구 후암동 441-5 외3필지,277.17,156.15,733.15,㎡,2022-06-23,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-107,서울특별시 용산구 이태원동 193-6,393,232.42,573.05,㎡,2021-10-26,공동주택,2022-11-18
대수선,2021-건축과-공용건축물-4,서울특별시 용산구 용산동6가 168-6 외5필지,"295,550.69","3,045.64","11,767.29",㎡,2021-11-18,문화및집회시설,2022-11-18
신축,2021-건축과-신축허가-106,서울특별시 용산구 서계동 33-56,685.53,358.17,"1,880.98",㎡,2022-01-04,공동주택,2022-11-18
신축,2021-건축과-신축허가-105,서울특별시 용산구 후암동 27-9 외1필지,297.77,175.69,696.38,㎡,2022-03-11,공동주택,2022-11-18
신축,2021-건축과-신축허가-104,서울특별시 용산구 이태원동 155-13,401,240.12,959.78,㎡,2021-11-29,공동주택,2022-11-18
신축,2021-건축과-신축허가-102,서울특별시 용산구 원효로4가 101-1,145.48,80.03,335.33,㎡,2022-01-19,공동주택,2022-11-18
신축,2021-건축과-신축허가-98,서울특별시 용산구 용문동 1-103,164.3,96.82,337.68,㎡,2022-04-04,공동주택,2022-11-18
신축,2021-건축과-신축허가-99,서울특별시 용산구 한남동 1-87,608,340.62,"1,949.97",㎡,2021-10-07,제2종근린생활시설,2022-11-18
신축,2021-주택공급과-신축허가-1,서울특별시 용산구 서계동 100-1,"2,362.3","1,058.26","15,220.11",㎡,2022-08-01,공동주택,2022-11-18
신축,2021-건축과-신축허가-97,서울특별시 용산구 이태원동 212-45,301.53,138.57,627.38,㎡,2022-03-17,공동주택,2022-11-18
신축,2021-건축과-신축허가-96,서울특별시 용산구 후암동 319-1 외1필지,194.86,112.93,336.12,㎡,2022-03-24,단독주택,2022-11-18
신축,2021-건축과-신축허가-91,서울특별시 용산구 용문동 1-2 외1필지,520.3,288.57,886.96,㎡,2022-02-04,공동주택,2022-11-18
증축,2021-건축과-협의건축물-2,서울특별시 용산구 용산동1가 8 외2필지,"115,204.4","20,658.83","88,258.95",㎡,2021-09-23,문화및집회시설,2022-11-18
신축,2021-건축과-신축허가-89,서울특별시 용산구 효창동 5-206,128.9,69.9,225.89,㎡,2021-12-07,공동주택,2022-11-18
증축,2021-건축과-증축허가-8,서울특별시 용산구 이태원동 260-199 외5필지,"5,430.06","2,862.21","11,676.26",㎡,2021-12-08,공동주택,2022-11-18
신축,2021-건축과-신축허가-88,서울특별시 용산구 원효로1가 17-11,211.74,126.65,540.16,㎡,2022-03-22,공동주택,2022-11-18
신축,2021-건축과-신축허가-86,서울특별시 용산구 원효로3가 206-2,140.74,61.05,196.3,㎡,2021-11-10,공동주택,2022-11-18
신축,2021-건축과-신축허가-84,서울특별시 용산구 원효로3가 277-1,378.14,190.71,"2,787.17",㎡,2022-05-11,업무시설,2022-11-18
신축,2021-건축과-신축허가-82,서울특별시 용산구 한남동 11-404 외1필지,304,119.16,788.62,㎡,2021-12-10,공동주택,2022-11-18
신축,2021-건축과-신축허가-74,서울특별시 용산구 이태원동 260-59 외1필지,75,44.99,157.13,㎡,2021-10-12,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-76,서울특별시 용산구 이태원동 212-30,234.36,140.36,350.74,㎡,2021-08-18,공동주택,2022-11-18
신축,2021-건축과-신축허가-72,서울특별시 용산구 후암동 27-2 외2필지,142.1,80.05,368.15,㎡,2022-03-18,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-69,서울특별시 용산구 한남동 90-4 외16필지,"2,296.3","1,350.12","31,093.0298",㎡,2021-09-29,업무시설,2022-11-18
신축,2021-건축과-신축허가-67,서울특별시 용산구 원효로4가 66-2 외1필지,259.4,154.03,595.39,㎡,2022-07-20,공동주택,2022-11-18
신축,2021-건축과-신축허가-66,서울특별시 용산구 원효로2가 17 외5필지,657.44,300.68,"4,710.71",㎡,2022-08-31,업무시설,2022-11-18
신축,2021-건축과-협의건축물-1,서울특별시 용산구 후암동 406-51 외2필지,75.7,42.82,112.37,㎡,2021-11-01,제1종근린생활시설,2022-11-18
대수선,2021-도시계획과-대수선허가-2,서울특별시 용산구 한강로3가 40-429,142.1,69.92,298.08,㎡,2021-11-25,제1종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-61,서울특별시 용산구 이태원동 44-85,116,65.19,269.69,㎡,2021-11-12,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-58,서울특별시 용산구 청파동3가 83-2,946.8,488.26,"4,580.63",㎡,2021-12-14,업무시설,2022-11-18
신축,2021-건축과-신축허가-60,서울특별시 용산구 한남동 381,385.04,218.06,925.74,㎡,2021-09-03,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-56,서울특별시 용산구 한남동 739-18,492.2,284.2,"1,692.34",㎡,2021-10-26,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-54,서울특별시 용산구 청파동1가 81,49.85,29.47,127.17,㎡,2021-12-03,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-55,서울특별시 용산구 이태원동 79-52,165,98.9,389.18,㎡,2022-03-03,단독주택,2022-11-18
대수선,2021-건축과-대수선허가-10,서울특별시 용산구 한남동 737-4,745.4,446.08,"1,684.24",㎡,2021-07-01,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-51,서울특별시 용산구 용문동 8-139,94.51,48.95,164.4,㎡,2022-01-13,공동주택,2022-11-18
신축,2021-건축과-신축허가-50,서울특별시 용산구 원효로4가 47 외1필지,249.1,137.92,506.57,㎡,2022-07-19,공동주택,2022-11-18
신축,2021-건축과-신축허가-40,서울특별시 용산구 서계동 33-233 외2필지,317.2,179.31,801.79,㎡,2021-12-28,공동주택,2022-11-18
신축,2021-건축과-신축허가-36,서울특별시 용산구 한남동 746-15,630.39,251.9,"1,312.48",㎡,2021-10-13,단독주택,2022-11-18
증축,2021-건축과-공용건축물-1,서울특별시 용산구 갈월동 98-8,"6,391","1,917.43","9,635.32",㎡,2021-08-23,문화및집회시설,2022-11-18
신축,2021-건축과-신축허가-30,서울특별시 용산구 한남동 729-15,292.19,169.81,928.56,㎡,2021-08-18,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-25,서울특별시 용산구 한강로3가 65-155 외1필지,664.5,398.13,"6,201.12",㎡,2021-07-01,업무시설,2022-11-18
신축,2021-건축과-신축허가-24,서울특별시 용산구 청파동2가 71-55,171.2,94.04,355.82,㎡,2022-01-24,공동주택,2022-11-18
신축,2021-건축과-신축허가-18,서울특별시 용산구 용산동2가 44-22,104.9,60.87,199.98,㎡,2021-07-26,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-12,서울특별시 용산구 서빙고동 4-3 외5필지,"1,112",550.1,"4,987.15",㎡,2021-11-23,종교시설,2022-11-18
신축,2021-건축과-신축허가-4,서울특별시 용산구 한남동 76-6,"1,810","1,085.1528","18,848.8946",㎡,2021-04-08,업무시설,2022-11-18
증축,2020-건축과-증축허가-14,서울특별시 용산구 한남동 11-300,800,239.9,983.71,㎡,2022-04-22,교육연구시설,2022-11-18
신축,2020-건축과-신축허가-141,서울특별시 용산구 원효로2가 90-26 외2필지,488.8,280.01,"4,486.47",㎡,2022-05-31,공동주택,2022-11-18
신축,2020-건축과-신축허가-121,서울특별시 용산구 이태원동 261-18,77.56,37.6,146.5,㎡,2021-05-21,단독주택,2022-11-18
신축,2020-건축과-신축허가-103,서울특별시 용산구 한남동 736-9 외2필지,"1,270.8",758.38,"7,319.6",㎡,2021-06-29,업무시설,2022-11-18
신축,2020-건축과-신축허가-93,서울특별시 용산구 한남동 748-6,639,295.07,"1,392.2",㎡,2020-09-24,단독주택,2022-11-18
용도변경,2020-건축과-용도변경허가-76,서울특별시 용산구 신창동 77-146,130.86,78.29,230.1,㎡,2022-03-29,제2종근린생활시설,2022-11-18
신축,2020-건축과-신축허가-87,서울특별시 용산구 이태원동 101-1 외7필지,"2,813.95","1,116.61","7,525.83",㎡,2020-10-15,단독주택,2022-11-18
신축,2020-도시계획과-신축허가-1,서울특별시 용산구 한강로3가 40-15 외2필지,"1,477.3",879.02,"18,298.76",㎡,2021-06-18,공동주택,2022-11-18
신축,2020-건축과-신축허가-71,서울특별시 용산구 산천동 37-1,271.4,146.44,684.99,㎡,2020-09-09,제2종근린생활시설,2022-11-18
신축,2020-건축과-신축허가-70,서울특별시 용산구 동자동 43-183,158.7,89.18,734.19,㎡,2020-12-23,제2종근린생활시설,2022-11-18
신축,2020-건축과-신축허가-62,서울특별시 용산구 신창동 56-29,132.61,72.12,344.77,㎡,2020-08-10,제2종근린생활시설,2022-11-18
신축,2020-건축과-신축허가-50,서울특별시 용산구 원효로4가 50-1 외1필지,220.32,117.98,550.32,㎡,2022-05-31,공동주택,2022-11-18
신축,2020-건축과-신축허가-41,서울특별시 용산구 서빙고동 4-18 외6필지,"2,945","1,144.0144","16,060.9128",㎡,2021-04-05,공동주택,2022-11-18
신축,2020-건축과-신축허가-86,서울특별시 용산구 효창동 78,61.16,34.48,133.92,㎡,2021-10-27,제2종근린생활시설,2022-11-18
신축,2019-건축과-신축허가-115,서울특별시 용산구 원효로3가 9-2,72.48,30.85,144.66,㎡,2020-06-16,공동주택,2022-11-18
신축,2019-건축과-신축허가-98,서울특별시 용산구 원효로1가 46-5 외7필지,692.9,405.56,"5,954.11",㎡,2020-09-23,업무시설,2022-11-18
신축,2019-건축과-신축허가-94,서울특별시 용산구 이촌동 302-75,"1,788.8",884.89,"9,250.57",㎡,2020-09-29,교육연구시설,2022-11-18
대수선,2019-건축과-대수선허가-18,서울특별시 용산구 용산동2가 38-24,112.9,79.12,197.09,㎡,2019-10-04,단독주택,2022-11-18
신축,2019-공원녹지과-신축허가-1,서울특별시 용산구 용산동6가 69-163,"13,801","2,120.41","7,589.22",㎡,2022-01-17,수련시설,2022-11-18
,,,,,,,,,
